dataset,family,baseline_solver,instance,repeats,formats,has_lb_summary,V,E,first_lb_min,first_lb_mean,first_lb_median,best_lb_min,best_lb_mean,best_lb_median,best_lb_max,best_ub_min,best_ub_mean,best_ub_median,final_gap_mean,historical_value_min,historical_value_mean,historical_value_median
DIMACS,deep,dualdeep,T1_200_250_1.wclq,10,summary,1,200,250,1822,1822,1822,1843,1846.4,1845,1853,1905,1905,1905,0.03075,1905,1905,1905
DIMACS,deep,dualdeep,T1_200_250_3.wclq,10,summary,1,200,250,1810,1810,1810,1822,1827.4,1826,1834,1873,1873,1873,0.02435,1873,1873,1873
DIMACS,deep,dualdeep,T1_200_250_4.wclq,3,summary,1,200,250,1833,1833,1833,1858,1859,1859,1860,1894,1894,1894,0.0185,1894,1894,1894
DIMACS,deep,dualdeep,T1_200_250_5.wclq,10,summary,1,200,250,1791,1791,1791,1814,1823.9,1821.5,1837,1886,1886,1886,0.032940000000000004,1886,1886,1886
DIMACS,deep,dualdeep,T1_200_250_6.wclq,9,summary,1,200,250,1764,1764,1764,1798,1803.888888888889,1804,1810,1856,1856,1856,0.028077777777777774,1856,1856,1856
DIMACS,deep,dualdeep,T1_200_250_7.wclq,10,summary,1,200,250,1848,1848,1848,1875,1881.6,1880.5,1892,1937,1937,1937,0.02858,1937,1937,1937
DIMACS,deep,dualdeep,T1_200_250_8.wclq,10,summary,1,200,250,1769,1769,1769,1796,1800.1,1798.5,1810,1859,1859,1859,0.03169,1859,1859,1859
DIMACS,deep,dualdeep,T1_200_250_9.wclq,2,summary,1,200,250,1824,1824,1824,1857,1861.5,1861.5,1866,1981,1981,1981,0.06035,1981,1981,1981
DIMACS,deep,dualdeep,T1_250_250_0.wclq,10,summary,1,250,250,2576,2576,2576,2638,2648,2648,2652,2656,2656,2656,0.0030099999999999997,2656,2656,2656
DIMACS,deep,dualdeep,T1_250_250_1.wclq,10,summary,1,250,250,2540,2540,2540,2569,2575.4,2574,2585,2597,2597,2597,0.00832,2597,2597,2597
DIMACS,deep,dualdeep,T1_250_250_2.wclq,10,summary,1,250,250,2557,2557,2557,2569,2573.4,2573,2581,2617,2617,2617,0.01666,2617,2617,2617
DIMACS,deep,dualdeep,T1_250_250_3.wclq,10,summary,1,250,250,2570,2570,2570,2629,2632.8,2633,2635,2658,2658,2658,0.00952,2658,2658,2658
DIMACS,deep,dualdeep,T1_250_250_4.wclq,10,summary,1,250,250,2641,2641,2641,2682,2687.1,2688,2690,2711,2711,2711,0.00881,2711,2711,2711
DIMACS,deep,dualdeep,T1_250_250_5.wclq,10,summary,1,250,250,2508,2508,2508,2570,2575.8,2574,2581,2584,2584,2584,0.00317,2584,2584,2584
DIMACS,deep,dualdeep,T1_250_250_6.wclq,10,summary,1,250,250,2529,2529,2529,2567,2568.2,2567.5,2575,2575,2575,2575,0.00263,2575,2575,2575
DIMACS,deep,dualdeep,T1_250_250_7.wclq,10,summary,1,250,250,2478,2478,2478,2542,2551.3,2548.5,2562,2605,2605,2605,0.02062,2605,2605,2605
DIMACS,deep,dualdeep,T1_250_250_8.wclq,10,summary,1,250,250,2555,2555,2555,2566,2566,2566,2566,2581,2581,2581,0.0058,2581,2581,2581
DIMACS,deep,dualdeep,T1_250_250_9.wclq,10,summary,1,250,250,2609,2609,2609,2698,2702.9,2701,2713,2746,2746,2746,0.015710000000000002,2746,2746,2746
DIMACS,deep,dualdeep,T1_300_300_0.wclq,10,summary,1,300,300,3191,3191,3191,3213,3213.4,3213,3217,3228,3228,3228,0.00448,3228,3228,3228
DIMACS,deep,dualdeep,T1_300_300_1.wclq,10,summary,1,300,300,3000,3000,3000,3037,3049.6,3049,3062,3090,3090,3090,0.01309,3090,3090,3090
DIMACS,deep,dualdeep,T1_300_300_2.wclq,10,summary,1,300,300,3170,3170,3170,3185,3192,3193,3193,3193,3193,3193,0.00031,3193,3193,3193
DIMACS,deep,dualdeep,T1_300_300_3.wclq,10,summary,1,300,300,3092,3092,3092,3133,3138.8,3137,3148,3172,3172,3172,0.01047,3172,3172,3172
DIMACS,deep,dualdeep,T1_300_300_4.wclq,10,summary,1,300,300,3130,3130,3130,3204,3213.1,3214.5,3222,3235,3235,3235,0.00678,3235,3235,3235
DIMACS,deep,dualdeep,T1_300_300_5.wclq,10,summary,1,300,300,3095,3095,3095,3107,3109.4,3110,3111,3118,3118.5,3118.5,0.0029000000000000002,3118,3118.5,3118.5
DIMACS,deep,dualdeep,T1_300_300_6.wclq,10,summary,1,300,300,3069,3069,3069,3092,3106.8,3105,3116,3145,3145,3145,0.01216,3145,3145,3145
DIMACS,deep,dualdeep,T1_300_300_7.wclq,10,summary,1,300,300,3012,3012,3012,3086,3088.6,3088.5,3090,3099,3099,3099,0.0033299999999999996,3099,3099,3099
DIMACS,deep,dualdeep,T1_300_300_8.wclq,10,summary,1,300,300,3115,3115,3115,3134,3138.6,3139,3143,3167,3167,3167,0.00897,3167,3167,3167
DIMACS,deep,dualdeep,T1_300_300_9.wclq,10,summary,1,300,300,3134,3134,3134,3220,3228.8,3228,3243,3307,3307,3307,0.02366,3307,3307,3307
DIMACS,deep,dualdeep,T1_500_500_0.wclq,10,summary,1,500,500,5152,5152,5152,5264,5299.6,5303,5325,5476,5476,5476,0.03221,5476,5476,5476
DIMACS,deep,dualdeep,T1_500_500_1.wclq,10,summary,1,500,500,5001,5001,5001,5091,5100.1,5096.5,5131,5200,5200,5200,0.01922,5200,5200,5200
DIMACS,deep,dualdeep,T1_500_500_2.wclq,10,summary,1,500,500,5188,5188,5188,5264,5280.6,5282.5,5291,5339,5339,5339,0.010929999999999999,5339,5339,5339
DIMACS,deep,dualdeep,T1_500_500_3.wclq,10,summary,1,500,500,5108,5108,5108,5221,5236.5,5238,5246,5282,5282,5282,0.00861,5282,5282,5282
DIMACS,deep,dualdeep,T1_500_500_4.wclq,10,summary,1,500,500,5165,5165,5165,5240,5252.8,5254.5,5264,5301,5301,5301,0.0091,5301,5301,5301
DIMACS,deep,dualdeep,T1_500_500_5.wclq,10,summary,1,500,500,5094,5094,5094,5167,5175.5,5174.5,5182,5244,5244,5244,0.01305,5244,5244,5244
DIMACS,deep,dualdeep,T1_500_500_6.wclq,10,summary,1,500,500,5153,5153,5153,5293,5303.5,5306,5309,5320,5320,5320,0.00309,5320,5320,5320
DIMACS,deep,dualdeep,T1_500_500_7.wclq,10,summary,1,500,500,5069,5069,5069,5130,5141.4,5140,5156,5216,5216,5216,0.01431,5216,5216,5216
DIMACS,deep,dualdeep,T1_500_500_8.wclq,10,summary,1,500,500,5092,5092,5092,5190,5214.4,5216.5,5246,5275,5275,5275,0.01149,5275,5275,5275
DIMACS,deep,dualdeep,T1_500_500_9.wclq,10,summary,1,500,500,5164,5164,5164,5245,5253.2,5254,5260,5394,5394.3,5394,0.02617,5394,5394.3,5394
DIMACS,deep,dualdeep,T1_50_1000_0.wclq,10,summary,1,50,1000,28,28,28,28,28,28,28,40,40,40,0.3,40,40,40
DIMACS,deep,dualdeep,T1_50_1000_1.wclq,10,summary,1,50,1000,25,25,25,25,25,25,25,41,41,41,0.3902,41,41,41
DIMACS,deep,dualdeep,T1_50_1000_2.wclq,10,summary,1,50,1000,21,21,21,21,21,21,21,41,41,41,0.4878,41,41,41
DIMACS,deep,dualdeep,T1_50_1000_3.wclq,10,summary,1,50,1000,23,23,23,23,23,23,23,42,42,42,0.4524,42,42,42
DIMACS,deep,dualdeep,T1_50_1000_4.wclq,10,summary,1,50,1000,22,22,22,22,22,22,22,41,41,41,0.4633999999999999,41,41,41
DIMACS,deep,dualdeep,T1_50_1000_5.wclq,10,summary,1,50,1000,24,24,24,24,24,24,24,42,42,42,0.4286,42,42,42
DIMACS,deep,dualdeep,T1_50_1000_6.wclq,10,summary,1,50,1000,22,22,22,22,22,22,22,40,40,40,0.45,40,40,40
DIMACS,deep,dualdeep,T1_50_1000_7.wclq,10,summary,1,50,1000,23,23,23,23,23,23,23,40,40,40,0.425,40,40,40
DIMACS,deep,dualdeep,T1_50_1000_8.wclq,10,summary,1,50,1000,26,26,26,26,26,26,26,46,46,46,0.43479999999999996,46,46,46
DIMACS,deep,dualdeep,T1_50_1000_9.wclq,10,summary,1,50,1000,24,24,24,24,24,24,24,42,42,42,0.4286,42,42,42
DIMACS,deep,dualdeep,T1_50_100_7.wclq,10,summary,1,50,100,322,322,322,328,328.4,328,329,344,344,344,0.045340000000000005,344,344,344
DIMACS,deep,dualdeep,T1_50_500_1.wclq,4,summary,1,50,500,59,59,59,60,60,60,60,97,97,97,0.3814,97,97,97
DIMACS,deep,dualdeep,T1_50_500_4.wclq,1,summary,1,50,500,50,50,50,50,50,50,50,97,97,97,0.4845,97,97,97
